   1   1   1     0.09931
   1   1   2     0.59696
   1   1   3     6.09714
   1   2   1     0.19930
   1   2   2     1.24743
   1   2   3     5.53777
   2   1   1     0.09723
   2   1   2     0.59722
   2   1   3     6.11060
   2   2   1     0.18678
   2   2   2     1.23376
   2   2   3     5.75945
   3   1   1     0.09848
   3   1   2     0.59999
   3   1   3     6.05804
   3   2   1     0.18912
   3   2   2     1.23768
   3   2   3     5.86024
   4   1   1     0.09694
   4   1   2     0.59503
   4   1   3     6.19536
   4   2   1     0.19351
   4   2   2     1.23569
   4   2   3     5.70681
